"filename", "language", "JSON", "TypeScript", "TypeScript JSX", "JSON with Comments", "XML", "Markdown", "JavaScript", "WebAssembly Text Format", "HTML", "Prisma", "CSS", "Properties", "comment", "blank", "total"
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 4, 15
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\.eslintrc.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\README.md", "Markdown", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 14, 37
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\actions\images.ts", "TypeScript", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 58
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\actions\login.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 31
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\actions\trailer.ts", "TypeScript", 0, 3485, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 168, 702, 4355
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\app\(adminOrganization)\admin\(adminPanel)\immagini\page.tsx", "TypeScript JSX", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\app\(adminOrganization)\admin\(adminPanel)\layout.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\app\(adminOrganization)\admin\(adminPanel)\page.tsx", "TypeScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\app\(adminOrganization)\admin\(adminPanel)\rimorchi\[trailerId]\[categoryId]\[variantId]\color\[colorId]\page.tsx", "TypeScript JSX", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 70
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\app\(adminOrganization)\admin\(adminPanel)\rimorchi\[trailerId]\[categoryId]\[variantId]\configurazione\[configurationId]\page.tsx", "TypeScript JSX", 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 155
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\app\(adminOrganization)\admin\(adminPanel)\rimorchi\[trailerId]\[categoryId]\[variantId]\layout.tsx", "TypeScript JSX", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 37
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\app\(adminOrganization)\admin\(adminPanel)\rimorchi\[trailerId]\[categoryId]\[variantId]\page.tsx", "TypeScript JSX", 0, 0, 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 196
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\app\(adminOrganization)\admin\(adminPanel)\rimorchi\[trailerId]\[categoryId]\[variantId]\selector\[selectorId]\page.tsx", "TypeScript JSX", 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 155
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\app\(adminOrganization)\admin\(adminPanel)\rimorchi\[trailerId]\[categoryId]\page.tsx", "TypeScript JSX", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 103
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\app\(adminOrganization)\admin\(adminPanel)\rimorchi\[trailerId]\not-found.tsx", "TypeScript JSX", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\app\(adminOrganization)\admin\(adminPanel)\rimorchi\[trailerId]\page.tsx", "TypeScript JSX", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 84
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\app\(adminOrganization)\admin\(adminPanel)\rimorchi\page.tsx", "TypeScript JSX", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 61
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\app\(adminOrganization)\admin\auth\page.tsx", "TypeScript JSX", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\app\(adminOrganization)\admin\layout.tsx", "TypeScript JSX", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\app\(adminOrganization)\admin\preview\[accessibleUUID]\page.tsx", "TypeScript JSX", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
